Sample_ID,Sample_Name,Timepoint,Sex,0v3,0v6,0v9,0v12,0v15,0v18,0v21,3v6,3v9,3v12,3v15,3v18,3v21,6v9,6v12,6v15,6v18,6v21,9v12,9v15,9v18,9v21,12v15,12v18,12v21,15v18,15v21,18v21
A1,ZT00_A1,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A2,ZT00_A2,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A25,ZT00_A25,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A26,ZT00_A26,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A27,ZT00_A27,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A3,ZT00_A3,0,Male,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
A28,ZT03_A28,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A29,ZT03_A29,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A30,ZT03_A30,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A4,ZT03_A4,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A5,ZT03_A5,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A6,ZT03_A6,3,Male,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
A31,ZT06_A31,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A32,ZT06_A32,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A33,ZT06_A33,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A7,ZT06_A7,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A8,ZT06_A8,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A9,ZT06_A9,6,Male,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
A10,ZT09_A10,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A11,ZT09_A11,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A12,ZT09_A12,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A34,ZT09_A34,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A35,ZT09_A35,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A36,ZT09_A36,9,Male,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
A13,ZT12_A13,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A14,ZT12_A14,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A15,ZT12_A15,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A37,ZT12_A37,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A38,ZT12_A38,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A39,ZT12_A39,12,Male,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
A16,ZT15_A16,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A17,ZT15_A17,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A18,ZT15_A18,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A40,ZT15_A40,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A41,ZT15_A41,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A42,ZT15_A42,15,Male,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
A19,ZT18_A19,18,Male,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
A20,ZT18_A20,18,Male,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
A21,ZT18_A21,18,Male,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
A43,ZT18_A43,18,Male,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
A44,ZT18_A44,18,Male,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
A22,ZT21_A22,21,Male,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
A23,ZT21_A23,21,Male,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
A24,ZT21_A24,21,Male,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
A45,ZT21_A45,21,Male,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
A46,ZT21_A46,21,Male,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
B1,ZT00_B1,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B2,ZT00_B2,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B25,ZT00_B25,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B26,ZT00_B26,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B27,ZT00_B27,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B3,ZT00_B3,0,Female,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
B28,ZT03_B28,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B29,ZT03_B29,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B30,ZT03_B30,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B4,ZT03_B4,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B5,ZT03_B5,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B6,ZT03_B6,3,Female,1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
B31,ZT06_B31,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B32,ZT06_B32,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B33,ZT06_B33,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B7,ZT06_B7,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B8,ZT06_B8,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B9,ZT06_B9,6,Female,,1,,,,,,1,,,,,,0,0,0,0,0,,,,,,,,,,
B10,ZT09_B10,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B11,ZT09_B11,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B12,ZT09_B12,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B34,ZT09_B34,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B35,ZT09_B35,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B36,ZT09_B36,9,Female,,,1,,,,,,1,,,,,1,,,,,0,0,0,0,,,,,,
B13,ZT12_B13,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B14,ZT12_B14,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B15,ZT12_B15,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B37,ZT12_B37,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B38,ZT12_B38,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B39,ZT12_B39,12,Female,,,,1,,,,,,1,,,,,1,,,,1,,,,0,0,0,,,
B16,ZT15_B16,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B17,ZT15_B17,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B18,ZT15_B18,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B40,ZT15_B40,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B41,ZT15_B41,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B42,ZT15_B42,15,Female,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,0,0,
B19,ZT18_B19,18,Female,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
B20,ZT18_B20,18,Female,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
B21,ZT18_B21,18,Female,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
B43,ZT18_B43,18,Female,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
B44,ZT18_B44,18,Female,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,,0
B22,ZT21_B22,21,Female,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
B23,ZT21_B23,21,Female,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
B24,ZT21_B24,21,Female,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
B45,ZT21_B45,21,Female,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
B46,ZT21_B46,21,Female,,,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1
